job_name,org_name,deadline,loc_name
Culinary/Chef Instructor (Part-Time),STREETS INTERNATIONAL,"Sat, 2017-05-13",NA
Sponsorship Service Division Officer,GNI,"Mon, 2017-05-15",NA
National Consultant to Conduct Project End-line Survey and Project Documentation,SAVE THE CHILDREN,"Wed, 2017-05-10",HA NOI
Translators/Interpreters,CRS,"Wed, 2017-05-31",HA NOI
Short Term Volunteer Coordinator,PROJECTS ABROAD,"Sun, 2017-05-14",HO CHI MINH
Project Leader,OXFAM,"Sun, 2017-05-07",HA NOI
 Project Administration Officer,WWF,"Wed, 2017-05-10",THANH HOA
Consultant to Conduct a Feasibility Study of Strengthening Instruction of Vietnamese as Second Language for Minority Language Children in Primary Schools in Vietnam,ROOM TO READ,"Sat, 2017-05-20",HA NOI
Senior Research Assistant,AUSTRALIAN EMBASSY,"Mon, 2017-05-15",NA
Area Program (AP) Manager,WORLD VISION,"Fri, 2017-05-12",NA
Expert to Provide Consultancy Paper on the Conceptualization of Social Ecological Transformation in Southeast Asia with Vietnam as a Case Study,RLS,"Sun, 2017-05-07",NA
Korean Translator and Interpreter,GNI,"Wed, 2017-05-10",NA
Volunteer,WORLD VISION,"Tue, 2017-05-02",HA NOI
Sponsorship Facilitator (Temporary),WORLD VISION,"Wed, 2017-05-10",THANH HOA
Research Assistant,CIAT ASIA,"Wed, 2017-05-31",HA NOI
Trainer for a 2-day Course of 'Coaching & Mentoring Skills for Line Managers',CHILDFUND VIETNAM,"Wed, 2017-05-03",HA NOI
Care and Treatment position,VAAC-US,"Sat, 2017-05-20",THANH HOA
National Consultant to Revise VFDÃ¢â‚¬â„¢s Detailed Project Document,VFD PROGRAM,"Tue, 2017-05-02",NA
Consultant for the Implementation of Energy Audits for Companies/Factories in Forestry/Wood Processing Sector,WWF,"Wed, 2017-05-10",NA
Short-term Finance Officer,GNI,"Fri, 2017-05-05",NA
Consultant Team to Provide Technical Support in GRAISEA Rice Value Chain Project,OXFAM,"Sun, 2017-05-07",NA
Consultant for Documentation of Community based Research Under Right and Voice Project,CARE,"Wed, 2017-05-03",NA
"Temporary Technical Officer, HIV/AIDS Care & Treatment",FHI 360,"Sun, 2017-05-07",THUA THIEN HUE
Assistant Coordinator; Assistant Accountant,BCC PROJECT,"Wed, 2017-05-03",HA NOI
Consultants for Development of Business Plan to Maximize Profitability,SNV,"Tue, 2017-05-30",QUANG TRI
Cooperative Advisor,SOCODEVI,"Sun, 2017-04-30",HO CHI MINH
Temporary Governance Program Assistant,AFAP VIETNAM,"Wed, 2017-05-03",HO CHI MINH
Market Facilitator,WORLD VISION,"Wed, 2017-05-03",NA
Consultancy Service to Conduct Overall Review and Analysis of Legislation Framework Related to Child Labour in Viet Nam,ILO,"Fri, 2017-05-05",NA
Project Coordinator,THE CHRISTINA NOBLE CHILDRENÃ‚â‚¬â„¢S FOUNDATION,"Wed, 2017-05-31",NA
Sponsorship Program Officer,THE CHRISTINA NOBLE CHILDRENÃ‚â‚¬â„¢S FOUNDATION,"Wed, 2017-05-31",NA
Consultant at Blue Dragon ChildrenÃ¢â‚¬â„¢s Foundation,BLUE DRAGON CHILDREN'S FOUNDATION,"Wed, 2017-05-10",NA
Program Officer Spices,IDH,"Sun, 2017-04-30",HA NOI
Migrant Services Assistant (3 positions),IOM,"Wed, 2017-05-10",HA NOI
Part-time Office Maid/Cleaner,USAID VIETNAM SAVING SPECIES PROJECT,"Wed, 2017-05-03",HA NOI
Finance Assistant,SAVE THE CHILDREN,"Tue, 2017-05-02",HA NOI
WWO Programme Officer,SCC,"Sat, 2017-05-20",HO CHI MINH
Disaster Risk Reduction Intern,GRC,"Tue, 2017-04-25",QUY NHON
Area Development Program (ADP) Manager,WORLD VISION,"Wed, 2017-05-03",HOA BINH
Consultant to Conduct a Baseline Survey,THE SWISS RED CROSS (SRC),"Wed, 2017-05-03",HA NOI
Communications and Event Officer,REACH,"Fri, 2017-04-28",QUANG BINH
Field Operations Assistant,CIAT ASIA,"Fri, 2017-05-12",NA
Procurement and Admin Assistant,ISEE,"Thu, 2017-04-27",HA NOI
Maternal & New-born health Project Assistant,SAVE THE CHILDREN,"Sun, 2017-05-07",DA NANG
Area Finance Facilitator ,PLAN INTERNATIONAL,"Sun, 2017-04-30",LAI CHAU
Full time Admin/Finance Intern,HKI,"Mon, 2017-05-08",HA NOI
"Consultancy Service the Review of Technical Design, Cost Estimation and Supervision for Construction Works",SAVE THE CHILDREN,"Thu, 2017-04-27",HA NOI
Operations Officer,WORLD VISION,"Tue, 2017-05-02",HA NOI
Agri-Business Advisor,SNV,"Sun, 2017-04-30",YEN BAI
Temporary ADP Bookkeeper,WORLD VISION,"Tue, 2017-05-02",YEN BAI
Temporary ADP ADP Sponsorship Facilitator,WORLD VISION,"Tue, 2017-05-02",NA
"Consultancy Service for Research on ""Reality Operation of Communities Organizations Established During the National Rural Development Programe"" ",CRD,"Tue, 2017-04-25",NA
Monitoring and Evaluation Expert,VIETNAM CLIMATE INNOVATION CENTER (VCIC),"Mon, 2017-04-24",HA NOI
Program Officers,MARIE STOPES INTERNATIONAL (MSI),"Wed, 2017-05-17","CAO BANG, THANH HOA, LAM DONG,DAK NONG , LONG AN,TIEN GIANG"
DRR Specialist cum Project Coordinator,PLAN INTERNATIONAL,"Sun, 2017-04-30",HA NOI
Request for Quotation: Bus Body and Bus Shelter Advertisement in Hanoi,PSI,"Wed, 2017-04-19",HA NOI
Chief Executive Officer ,MDRI,"Wed, 2017-05-10",HO CHI MINH
Senior Education Specialist ,MANAGEMENT SYSTEMS INTERNATIONAL (MSI),"Fri, 2017-04-28",HO CHI MINH
Business Development Coordinator,AIP FOUNDATION,"Thu, 2017-04-20",HA NOI
Technical Program Officer - Education and Child Protection,WORLD VISION,"Wed, 2017-05-03",NA
Program Coordinator,KSRPD,"Sun, 2017-04-23",NA
Rice Programme Coordinator,VECO VIETNAM,"Wed, 2017-05-03",NA
Project Officer (CSI),GIZ,"Fri, 2017-05-05",HA NOI
02 Project Assistants ,HKI,"Mon, 2017-05-08","HA NOI , CAN THO"
Executive Secretary to the President,AIP FOUNDATION,"Sat, 2017-05-20",HA NOI
Field Project Assistant,SAVE THE CHILDREN,"Fri, 2017-04-28",LAO CAI
Consultant to Conduct Trainings on Community-based Disaster Risks Management Program to Commune and Hamlet Leaders,SAVE THE CHILDREN,"Thu, 2017-04-20",HA NOI
Consultant to Conduct Training Course on a Training for Trainers (TOT) on Behavior Change Communication (BCC),SAVE THE CHILDREN,"Thu, 2017-04-20",HA NOI
Temporary Logistic Officer,SNV,"Wed, 2017-04-19",NA
Valorisation Tool Reviewer,SNV,"Tue, 2017-04-25",NA
Rice Husk Valorisation Expert,SNV,"Tue, 2017-04-25",NA
Human Resources Intern,SAVE THE CHILDREN,"Fri, 2017-04-28",NA
Senior Technical Manager,GHSC-PSM PROJECT,"Tue, 2017-06-06",HA NOI
Coordinator,ACDC,"Tue, 2017-05-02",HA NOI
Operation Division Officer (OD Officer) ,GNI,"Thu, 2017-04-20",THANH HOA
National Irrigation Engineer (Readvertised),LUX-DEVELOPMENT,"Fri, 2017-04-28",CAO BANG
Project Manager,HELVETAS,"Fri, 2017-05-05",HA NOI
Consultant(s) for Cooperate Development Strategy Trainings,GRET,"Fri, 2017-05-05",HUNG YEN
02 Volunteers Interpreters,WORLD VISION,"Fri, 2017-04-21",HA NOI
Accounting/Audit Firm to Conduct Independent Audit of Project Ã¢â‚¬Å“Social Inclusion of People with Disabilities Through Civil Society ActionÃ¢â‚¬ï¿½,CRS,"Fri, 2017-04-21",NA
Consultant to Conduct the Assessment and Guide the Implementation of the Safe House/Sheter Model of Vietnam Red Cross in Response to Natural Disasters.,VNRC,"Mon, 2017-04-17",NA
Project Assistant cum Receptionist; Project Officer; Project Accountant; Senior Project Accountant,VIETHEALTH,"Fri, 2017-05-05",NA
"Communication Agency to Support Development, Production and Promotion of Communication Products",ILO,"Fri, 2017-04-21",HA NOI
Consultancy Service to Conduct Overall Review and Analysis of Legislation Framework Related to Child Labour in Viet Nam,ILO,"Tue, 2017-04-18","HO CHI MINH, CA MAU"
National Project Coordinator ,ILO,"Fri, 2017-04-21",HO CHI MINH
DRR & Emergency Project Assistant,SAVE THE CHILDREN,"Sun, 2017-04-23",HO CHI MINH
Project Officer Ã¢â‚¬â€œ Disaster Risk Reduction and Emergency Response,SAVE THE CHILDREN,"Sun, 2017-04-23",HA NOI
DRR & Emergency Project Manager,SAVE THE CHILDREN,"Sun, 2017-05-07",HA NOI
Communications and Youth Development Officer,CSDS,"Sat, 2017-04-22",HA NOI
Education Project Evaluation Consultant ,VIETNET-ICT,"Thu, 2017-04-20",NA
Senior Political Officer,AUSTRALIAN EMBASSY,"Fri, 2017-04-28",NA
Bookkeeper,SNV,"Fri, 2017-04-21",NA
Valorisation Tool Reviewer,SNV,"Fri, 2017-04-14",HA NOI
Rice Husk Valorisation Expert,SNV,"Fri, 2017-04-14",HA NOI
Director of Program Implementation,SAVE THE CHILDREN,"Sun, 2017-04-23",HA NOI
"Director of Program Development, Quality and Advocacy",SAVE THE CHILDREN,"Sun, 2017-04-23",HA NOI
"Director of Program Development, Quality and Advocacy",SAVE THE CHILDREN,"Sun, 2017-04-23",HUNG YEN
Program Coordinator,HSCV,"Sun, 2017-05-07",HA NOI
Volunteer Interpreters (5 Positions),WORLD VISION,"Fri, 2017-04-21",NA
National Trainer to Provide Training Program on Management and Facilitation Skills of Children Clubs,AIDE ET ACTION INTERNATIONAL (AEAI),"Mon, 2017-04-24",NA
National Trainer to Provide TOT Training Program on Children Life Skills for Teachers,AIDE ET ACTION INTERNATIONAL (AEAI),"Mon, 2017-04-24",NA
Communications Officer,WILDLIFE CONSERVATION SOCIETY (WCS),"Thu, 2017-04-20",NA
Child Protection Officer (CP Officer) ,GNI,"Fri, 2017-04-21",TUYEN QUANG
National Technical Assistant,RALG PROJECT,"Thu, 2017-04-20",NGHE AN
Project Officer,NLD PROJECT,"Fri, 2017-04-28",HA NOI
Income Generation Officer,GNI,"Mon, 2017-04-17",HOA BINH
Bookkeeper,WORLD VISION,"Thu, 2017-04-20","BINH THUAN, NINH THUAN"
Country Coordinator,WUSC,"Tue, 2017-04-25",HA NOI
Communications & Fundraising Manager,BLUE DRAGON CHILDREN'S FOUNDATION,"Thu, 2017-04-20",HA NOI
Monitoring & Evaluation Manager,FIT,"Fri, 2017-04-21",HO CHI MINH
Accountant,SCDI,"Thu, 2017-04-27",HA NOI
Senior Project Officer (Flood Proofing),GIZ,"Fri, 2017-04-21",HA NOI
Short-term Child Protection Officer,GNI,"Mon, 2017-04-17",HA NOI
Short-term Finance Officer,GNI,"Thu, 2017-04-20",HA NOI
Director at FOUR PAWS Viet,FOUR PAWS VIET,"Fri, 2017-04-14",SON LA
Finance Assistant,SAVE THE CHILDREN,"Sun, 2017-04-23",HA NOI
Research Assistant,ICRAF,"Tue, 2017-04-25",NA
Research Operations Manager (ROM),VYSNOVA,"Thu, 2017-04-20",NA
Surveillance Officer,PATH,"Sun, 2017-04-30",NA
Consultancy Service for Project Evaluation ,CWS,"Fri, 2017-04-14",NA
Consultant to Conduct a Feasibility Study of Strengthening Instruction of Vietnamese as Second Language for Minority Language Children in Primary Schools in Vietnam,ROOM TO READ,"Thu, 2017-04-20",NA
Consultant to Conduct Landscape Study of Life Skills & Mentoring in Secondary Schools in Vietnam,ROOM TO READ,"Wed, 2017-04-12",NA
Final Evaluation Consultant,LIN CENTER,"Mon, 2017-04-17",HAI PHONG
Financial Education Project Intern,SAVE THE CHILDREN,"Tue, 2017-04-18",HA NOI
In-house Social Worker; Monitoring and Evaluation Officer; Psychologist,HAGAR,"Fri, 2017-04-21","SOC TRANG , NINH THUAN"
Equality Between Women and Men (EWM) Facilitator (5 positions),VCED PROJECT,"Tue, 2017-04-18",HA NOI
Child Nutrition Project Assistant,SAVE THE CHILDREN,"Tue, 2017-04-18",HA NOI
Health and Nutrition Coordinator,SAVE THE CHILDREN,"Tue, 2017-04-18",HA NOI
Food Security Coordinator,SAVE THE CHILDREN,"Tue, 2017-04-18",HA NOI
Policy Formulation Coordinator,SAVE THE CHILDREN,"Tue, 2017-04-18",LAO CAI
Agronomist Facilitators,SOCODEVI,"Tue, 2017-04-18",NA
Finance Officer,SAVE THE CHILDREN,"Sun, 2017-04-23",NA
Policy Coordinator ,WILDLIFE CONSERVATION SOCIETY (WCS),"Fri, 2017-04-21",HA NOI
Communications and Marketing Intern,AFAP VIETNAM,"Sat, 2017-04-15",HA NOI
Project Coordinator; Accountant; Microfinance Managing Director,MACDI,"Fri, 2017-06-30",HA NOI
Grant Acquisition and Management Volunteer,WORLD VISION,"Sun, 2017-04-23",HA NOI
Finance Intern,SAVE THE CHILDREN,"Sun, 2017-04-23","HA NOI, HAI PHONG, HO CHI MINH"
"Consultant for Survey Data Entry, Data Analysis and Writing Report",SAVE THE CHILDREN,"Sat, 2017-04-15",HA NOI
Social Networking Manager; Program Finance Officer,ISEE,"Fri, 2017-04-14",HA NOI
General Manager,BLUE DRAGON CHILDREN'S FOUNDATION,"Mon, 2017-05-01",HA NOI
Consultancy Service for Conducting a Baseline Survey of Disability in Dien Bien City,CBM,"Sun, 2017-04-09",NA
Finance Assistant,WILDLIFE CONSERVATION SOCIETY (WCS),"Wed, 2017-04-12",NA
Programme Coordinator for a Private Provider Interface Agency,FIT,"Sat, 2017-04-15",HO CHI MINH
Executive Assistant,FIT,"Sat, 2017-04-15",HO CHI MINH
Programme Manager,LIEN AID,"Fri, 2017-04-21",VIET NAM
IT Officer,WORLD VISION,"Sun, 2017-04-23",HA NOI
Consultant for Baseline Survey,ACTIONAID,"Sat, 2017-04-22",HA NOI
Consultant to Facilitate Training on Fundraising and Resource Mobilization,CRS,"Mon, 2017-04-10",HA NOI
Office Intern,CBM,"Sat, 2017-04-22",DAK LAK
Social Development Specialist,THE WORLD BANK (WB),"Mon, 2017-04-17",QUANG TRI
Animal Welfare Project Officer,ANIMALS ASIA,"Sat, 2017-04-15",NA
Bookkeeper,WORLD VISION,"Sun, 2017-04-09",NA
Valorisation Tool Reviewer,SNV,"Tue, 2017-04-11",HA NOI
Excel/VBA Expert,SNV,"Tue, 2017-04-11",HA NOI
National Technical Assistance for Study and Assessment on the Operational Capacity of Collaborative Groups,SRDP QUANG BINH,"Mon, 2017-04-03",TUYEN QUANG
Programme Accounting and Finance Officer,CARE,"Thu, 2017-04-20",QUANG TRI
International Consultants at MUDP,MUDP - MOC,"Fri, 2017-04-07",NA
Temporary Project Accountant,WWF,"Mon, 2017-04-10",NA
Consultant to Develop M&E System,CRED / HELVETAS,"Sun, 2017-04-02",NA
Community Capacity Development Officer (CCD Officer)  ,GNI,"Mon, 2017-04-10",NA
Consultant Service to Conduct Baseline Survey for Disaster Risk Reduction and Climate Change Adaptation Project in Dong Thap Province,SAVE THE CHILDREN,"Fri, 2017-04-21",NA
Project Finance Officer,NPA,"Fri, 2017-04-14",NA
Program Manager,SCDI,"Mon, 2017-04-10",HA NOI
Rice Husk Valorisation Expert,SNV,"Sun, 2017-04-09",HA NOI
Incubation Specialist; Business Development Expert,VCIC,"Mon, 2017-04-10",HA NOI
Consultant Service to Provide Training Course on on Behavior Change Communication (BCC) for Provincial and District LevelÃ¢â‚¬â„¢s Health Staff in Yen Bai,SAVE THE CHILDREN,"Wed, 2017-04-12",YEN BAI
Consultant Service to Provide Training Course on Supportive Supervision for Officers of Tram Tau Health Center and Nghia Lo General Hospital,SAVE THE CHILDREN,"Fri, 2017-04-21",HA NOI
Consultant to Provide Qualified Data and Relevant Dummy Tables/Graph for Baseline Survey and Data Analysis,SAVE THE CHILDREN,"Sun, 2017-04-02",HO CHI MINH
Business and Household Finance Economics Advisor,SNV,"Fri, 2017-04-07","HA NOI, HO CHI MINH"
Disaster Risk Reduction and Emergency Response Project Officer,SAVE THE CHILDREN,"Sun, 2017-04-09",HO CHI MINH
Project Coordinators (2 positions: 1 in Hanoi and 1 in Ho Chi Minh City),REACH,"Sat, 2017-04-29",NA
Program Assistant,AIP FOUNDATION,"Tue, 2017-04-25",NA
Operations and Maintenance (O&M) Engineer,LUX-DEVELOPMENT,"Wed, 2017-04-12",BAC KAN
Programme Officer Ã¢â‚¬â€œ Communications and Advocacy,AIDE ET ACTION INTERNATIONAL (AEAI),"Wed, 2017-04-05",HA NOI
Market Facilitator,WORLD VISION,"Wed, 2017-04-05",QUANG TRI
Consultant Service to Conduct Baseline Survey for Food and Nutrition Security Component,SAVE THE CHILDREN,"Mon, 2017-04-10",HA NOI
Program Officer,CCIHP,"Fri, 2017-04-07",HA NOI
Internship at GIZ,GIZ,"Sat, 2017-04-01",YEN BAI
Consultant Service to Conduct Baseline Survey for Health & Nutrition Component,SAVE THE CHILDREN,"Mon, 2017-04-10",HO CHI MINH
ADP Bookkeeper,WORLD VISION,"Thu, 2017-04-06",HA NOI
Child Right Governance Senior Project Officer,SAVE THE CHILDREN,"Sun, 2017-04-09",NA
Ethnic Minority Program Assistant ,ISEE,"Mon, 2017-04-03",NA
Area Finance Facilitator  ,PLAN INTERNATIONAL,"Fri, 2017-04-07",LAI CHAU
Consultancy Service on Making Training Video ,SNV,"Thu, 2017-03-30",HA NOI
External Audit Services for the Financial Year of 2016,CRD,"Thu, 2017-03-30",HA NOI
Communications Officer,SNV,"Wed, 2017-03-29",HA NOI
Financial Manager,THE WOOLCOCK INSTITUTE,"Sun, 2017-04-30",HA NOI
Project Officer; M&E Consultant,HKI,"Thu, 2017-03-30",CAMBODIA
Business and Entrepreneurship Advisor,SNV,"Fri, 2017-03-31",YEN BAI
Project Manager,OXFAM,"Wed, 2017-04-05",NA
Temporary Development Facilitator,WORLD VISION,"Wed, 2017-04-05",NA
Consulting Firm to Conduct Baseline Survey of Disability,CBM,"Sat, 2017-04-01",NA
Interns/volunteers,CARE,"Wed, 2017-04-05",HA NOI
Program Officer,MEKONG INSTITUTE,"Fri, 2017-03-31","THAILAND, VIETNAM, MYANMAR"
Temporary Grant Officer,THE ASIA FOUNDATION (TAF),"Fri, 2017-04-07",HA NOI
Emergency Response and DRR Programme Manager,SAVE THE CHILDREN,"Sun, 2017-04-02",HA NOI
Consultant to Develop a 5-year Strategic Plan for Vietnam National Committee on Disability,VNAH,"Wed, 2017-04-05",HA NOI
Project Officer ,HABITAT FOR HUMANITY VIETNAM (HFHV),"Mon, 2017-04-10",QUANG NAM
National Consultants for Program Final Evaluation cum Documentation,THE ASIA FOUNDATION (TAF),"Mon, 2017-04-03","CAO BANG, BAC KAN, HOA BINH"
Consultant for Production of Two Short Video Clips,CRS,"Fri, 2017-03-31",HA NOI
Connecting and Creating Leaders Project Officer,CHILDFUND VIETNAM,"Tue, 2017-04-04",NA
National Project Coordinator (Labour Administration Ã¢â‚¬â€œ Labour Inspection),ILO,"Sun, 2017-04-02",NA
 Development Facilitator Casual Staff,WORLD VISION,"Tue, 2017-03-28",DIEN BIEN
Senior Grant Acquisition and Management Officer,WORLD VISION,"Sun, 2017-04-09",HA NOI
Vacancies at AMDI,AMDI,"Sun, 2017-04-30",HA NOI
Production of Documentary film to Evaluate and Promote Community based Disaster Risk Management in Ca Mau,THE SWISS RED CROSS (SRC),"Sat, 2017-03-25",HA NOI
Consultants at IPSARD,IPSARD,"Tue, 2017-04-04",TUYEN QUANG
Senior Development Officer,CANADIAN EMBASSY,"Thu, 2017-04-06",HA NOI
Request for EOI from ECODIT,ECODIT,"Fri, 2017-04-28",HA NOI
Short-term Child Protection Officer,GNI,"Thu, 2017-03-30",NA
Short-term Finance Officer,GNI,"Thu, 2017-03-30",NA
Junior M&E Officer cum Programme Assistant,SNV,"Wed, 2017-03-29",NA
Consultancy Service for Ã¢â‚¬ËœTraining on Emergency Market Mapping and Analysis Toolkit Ã¢â‚¬â€œ EMMAÃ¢â‚¬â„¢,OXFAM,"Mon, 2017-04-03",DA NANG
Trial Officer,THE WOOLCOCK INSTITUTE,"Thu, 2017-04-20",HA NOI
Care/Teaching Coordinator,PROJECTS ABROAD,"Fri, 2017-03-31",HA NOI
Policy and Legislative Program Officer,ENV,"Thu, 2017-04-20",HO CHI MINH
Project Officer,LIFE CENTRE,"Sat, 2017-04-15",HO CHI MINH
Communication Officer,LIFE CENTRE,"Sat, 2017-04-15",HO CHI MINH
NPO Services Coordinator,LIN CENTER,"Wed, 2017-04-05",HA NOI
Project Manager; Knowledge Management Officer; Accountant; Project Secretary,SCOH-2 PROJECT,"Fri, 2017-04-07",HO CHI MINH
"Program Officer, GEP (Technical function)",ROOM TO READ,"Fri, 2017-03-31",NA
Consultant for Diagnostic Study on Economic Potential of Creating a Local Economic/Trade Ã¢â‚¬â€œ Service Development Pole,PMI LED PROGRAM IN VIETNAM,"Tue, 2017-03-21",NA
Project Officer; M&E Officer,VIETHEALTH,"Sat, 2017-04-15",HA NOI
Admin Intern,GIZ BIO FOREST PROJECT,"Mon, 2017-04-10",HA NOI
Programme Coordinator; PR & Event Coordinator,VINACAPITAL FOUNDATION,"Sun, 2017-04-30",HO CHI MINH
Stand by Driver,BFTW-PDS,"Fri, 2017-03-31",HA NOI
Project Assistants; Trial Officer; Southern Area Leader,THE WOOLCOCK INSTITUTE,"Sat, 2017-04-15",HO CHI MINH
"Principal Investigator/Laboratory Project Lead; Senior Technical Officer, Laboratory Science",FHI 360,"Wed, 2017-03-22","HA NOI, HO CHI MINH"
National Trainers for Training Programs,AIDE ET ACTION INTERNATIONAL (AEAI),"Fri, 2017-03-31",HA NOI
Intern for the Building Resilience Programme,OXFAM,"Tue, 2017-03-28",HA NOI
Finance and Administrative Officer,THE SWISS RED CROSS (SRC),"Fri, 2017-03-31",NA
Request for Quotation: Outdoor Billboards and Signage,PSI,"Mon, 2017-03-20",NA
Program Coordinator,KSRPD,"Mon, 2017-03-27",HA NOI
Early Childhood Development Project Officer,SAVE THE CHILDREN,"Sun, 2017-04-02",HA NOI
 Intern for Programme Support Team,OXFAM,"Sun, 2017-03-26",HA NOI
Consultant for Final Evaluation,CRS,"Wed, 2017-03-22",HOA BINH
Pass It Back Technical Project Officer,CHILDFUND VIETNAM,"Thu, 2017-03-23",HA NOI
Construction Consultant,WORLD VISION,"Mon, 2017-03-20",HA NOI
Project Manager,HKI,"Sun, 2017-03-26",HA NOI
Admin Officer ,GNI,"Sun, 2017-03-26","HA NOI, THANH HOA"
Admin Volunteer,GNI,"Sun, 2017-03-26",NA
Senior Program Officer; M&E Officer; Technical Coordinator; Project Officers,PACT,"Thu, 2017-03-23",NA
National Consultant to Conduct WASH Infrastructure Survey for Schools and Clinics,CARE,"Mon, 2017-03-20",YEN BAI
ADP Bookkeeper,WORLD VISION,"Mon, 2017-03-20",DIEN BIEN
National Consultant to Conduct WASH Infrastructure Survey for Schools and Clinics,CARE,"Mon, 2017-03-20",HOA BINH
Area Development Program (ADP) Coordinator,WORLD VISION,"Mon, 2017-03-20",HA NOI
Development Facilitator,WORLD VISION,"Fri, 2017-03-24",HA NOI
Agri-Business Advisor,SNV,"Fri, 2017-03-24",HA NOI
Associate Researcher,IRRI,"Fri, 2017-03-31",HA NOI
Communication Senior Specialist,IRRI,"Sat, 2017-04-15",HO CHI MINH
Programme Assistant,GIZ,"Wed, 2017-03-22",NA
"National Consultant, Fish stock & Biomass Assessment",WWF,"Sat, 2017-03-25",NA
Local Advisory Group for Project Final Evaluation of Ã¢â‚¬Å“Climate Change and Ethnic Minorities in Northern VietnamÃ¢â‚¬ï¿½,ADDA,"Thu, 2017-03-30",HA NOI
Senior Project Manager,HEALTHBRIDGE (HB),"Fri, 2017-03-17",HAI PHONG
Financial Education Project Intern,SAVE THE CHILDREN,"Thu, 2017-03-23",HA NOI
Vacancies at IECD,IECD,"Wed, 2017-05-31",CA MAU
Construction Supervisor ,HABITAT FOR HUMANITY VIETNAM (HFHV),"Sat, 2017-04-15",HA NOI
Program Assistant cum Administration Clerk,HABITAT FOR HUMANITY VIETNAM (HFHV),"Sat, 2017-04-15","HOA BINH, TUYEN QUANG"
Project Officer,WIMR,"Sat, 2017-04-15",NA
Award Manager,SAVE THE CHILDREN,"Thu, 2017-03-23",NA
Sales and Marketing Executive,AFAP VIETNAM,"Fri, 2017-03-31",NA
Income Generation Officers,GNI,"Mon, 2017-03-20",NA
"National Technical Advisor, Sustainable Energy",WWF,"Wed, 2017-03-15",HA NOI
Temporary Logistic Office,SNV,"Thu, 2017-03-23",HA NOI
Consultancy Service: Analyis of Inequality in Shrimp Value Chain,OXFAM,"Wed, 2017-03-22",HA NOI
Project Assistant,DP HANOI,"Mon, 2017-03-20",CAO BANG
 National Irrigation Engineer (NIE),LUX-DEVELOPMENT,"Tue, 2017-03-28",HO CHI MINH
Consultants for Project Final Evaluation,CARITAS SWITZERLAND,"Wed, 2017-03-22",HA NOI
Field Manager,ROOM TO READ,"Fri, 2017-03-31",NA
Consultant for Documentation of Methodology/Guideline for Participatory Development of Risk Map Using Quantum GIS,GRC,"Mon, 2017-03-13",NA
Consultancy Service on Development of Forest Landscape Restoration Plan,SNV,"Fri, 2017-03-24",NA
Program Assistant,CHAI,"Wed, 2017-03-15",NA
"Program Officer, Instructional Design & Teacher Support (IDTS)",ROOM TO READ,"Fri, 2017-03-31",HO CHI MINH
Consultancy Service: Pre-Audit Accessment for Compliance of Shrimp Hatchery for Organic Certification in Ca Mau Province,SNV,"Sun, 2017-03-19",HA NOI
Northern Area Leader,WIMR,"Wed, 2017-04-05",HO CHI MINH
"Senior Manager, Program Support and Innovation ",HABITAT FOR HUMANITY VIETNAM (HFHV),"Fri, 2017-03-31",HA NOI
Youth Project Officer,TOWARDS TRANSPARENCY (TT),"Fri, 2017-03-17",YEN BAI
Project Officer - Enhancing Resilience for Ethnic Minorities,WORLD VISION,"Sun, 2017-03-19",YEN BAI
Temporary Development Facilitator (covering for maternity leave),WORLD VISION,"Sun, 2017-03-19",TRA VINH
Regional Development Manager Asia,OXFAM,"Mon, 2017-03-20",NA
Regional Program Quality Lead Asia,OXFAM,"Mon, 2017-03-20",NA
Gender-Ethnic staff,SME DEVELOPMENT PROJECT IN TRA VINH PROVINCE,"Fri, 2017-03-31",NA
Capacity Building Intern,ACTIONAID,"Thu, 2017-03-16",HA NOI
Vacancies at AAV,ACTIONAID,"Tue, 2017-03-21",HA NOI
Partner to Conduct Field-based Surveys for the RCT for Deworming Program,EAST MEETS WEST FOUNDATION,"Fri, 2017-03-24",DIEN BIEN
Development Facilitator,WORLD VISION,"Thu, 2017-03-16",HA NOI
Human Resource Officer ,SAMARITANÃ‚â‚¬â„¢S PURSE,"Fri, 2017-03-31",HA NOI
Senior Finance Officer,WWF,"Sun, 2017-03-19",HA NOI
Program Officer,WILDLIFE CONSERVATION SOCIETY (WCS),"Mon, 2017-03-20",HA NOI
Country Finance Manager,WILDLIFE CONSERVATION SOCIETY (WCS),"Mon, 2017-03-20",QUANG TRI
Market Facilitators,WORLD VISION,"Thu, 2017-03-16",HA NOI
Executive Assistant to the Ambassador,AUSTRALIAN EMBASSY,"Wed, 2017-03-15",NA
Programme Manager,OXFAM,"Wed, 2017-03-22",HA NOI
Programme Intern - Advocacy and Campaign,OXFAM,"Fri, 2017-03-10",HA NOI
Programme Intern for Justice Initiative Facilitatiion Fund (JIFF) Program,OXFAM,"Fri, 2017-03-10",HA NOI
Office Assistant,SNV,"Fri, 2017-03-10",HA NOI
Business Development Specialist,SNV,"Thu, 2017-03-16",HA NOI
Institution to Assist ENHANCE Project,ILO,"Wed, 2017-03-15",HA NOI
Consulting Firm to Conduct the Endline Survey via Phone,SAVE THE CHILDREN,"Wed, 2017-03-15",NA
Construction Consultant,WORLD VISION,"Fri, 2017-03-10",NA
